TIME_STAMPING,PACKET_COUNT,GNSS_SPEED,GNSS_LATITUDE,GNSS_LONGITUDE,GNSS_ALTITUDE,GNSS_SATS,VOLTAGE,VIBRATION,EULERX,EULERY,EULERZ ,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,BNO_TEMPERATURE,MAGNETOMETER_X,MAGNETOMETER_Y,MAGNETOMETER_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,ALTITUDE,TEMPERATURE,PRESSURE,CM_ECHO,Unnamed: 32
1702453085.9846911,34,0.0,0.0,0.0,0.0,0,16.39,0,10.5,-16.56,15.19,10.5,-16.56,15.19,-12.44,-4.0,9.75,25.0,18.5,-37.06,-36.75,-2.19,-2.31,9.56,10.5,-16.56,15.19,222.36,26.71,986.83,time,
1702453086.2472942,35,0.0,0.0,0.0,0.0,0,16.39,0,13.44,-15.75,18.75,13.44,-15.75,18.75,-8.31,-6.25,-25.44,25.0,20.25,-34.56,-37.56,-3.08,-3.44,9.3,13.44,-15.75,18.75,222.42,26.71,986.82,time,
1702453086.525294,36,0.0,0.0,0.0,0.0,0,16.39,1,31.69,-9.44,24.62,31.69,-9.44,24.62,-6.69,3.25,-88.62,25.0,26.56,-26.0,-38.56,-2.04,-4.26,8.83,31.69,-9.44,24.62,222.43,26.71,986.82,time,
1702453086.79329,37,0.0,0.0,0.0,0.0,0,16.39,0,48.44,-3.19,26.25,48.44,-3.19,26.25,7.69,-5.31,-37.81,25.0,39.06,-10.69,-36.19,-1.23,-3.78,8.76,48.44,-3.19,26.25,222.43,26.71,986.82,time,
1702453087.0543082,38,0.0,0.0,0.0,0.0,0,16.39,0,56.62,5.38,19.12,56.62,5.38,19.12,54.94,-26.44,-62.44,25.0,37.88,-10.19,-37.5,0.49,-3.5,9.6,56.62,5.38,19.12,222.48,26.72,986.81,time,
1702453087.3169453,39,0.0,0.0,0.0,0.0,0,16.39,0,71.56,12.44,7.0,71.56,12.44,7.0,-5.75,14.19,-65.94,25.0,34.88,-8.56,-42.06,1.67,-1.01,9.92,71.56,12.44,7.0,222.36,26.72,986.83,time,
1702453087.5802245,40,0.0,0.0,0.0,0.0,0,16.39,0,78.88,8.88,9.0,78.88,8.88,9.0,-5.06,10.75,-21.25,25.0,39.25,0.25,-40.38,1.28,-0.55,9.77,78.88,8.88,9.0,222.32,26.72,986.83,time,
1702453087.8422437,41,0.0,0.0,0.0,0.0,0,16.39,0,88.25,8.19,5.06,88.25,8.19,5.06,-8.19,-2.56,-12.5,25.0,42.19,6.5,-39.06,0.47,-1.73,10.31,88.25,8.19,5.06,222.37,26.73,986.82,time,
1702453088.1152136,42,0.0,0.0,0.0,0.0,0,16.39,0,91.0,8.88,8.62,91.0,8.88,8.62,-21.44,-3.38,0.75,25.0,41.69,10.0,-39.19,1.63,-2.22,9.65,91.0,8.88,8.62,222.35,26.73,986.83,time,
1702453088.3842127,43,0.0,0.0,0.0,0.0,0,16.39,0,86.44,13.31,5.0,86.44,13.31,5.0,56.38,-37.44,26.31,25.0,39.56,7.0,-42.75,1.44,-0.57,9.2,86.44,13.31,5.0,222.26,26.73,986.84,time,
1702453088.6545267,44,0.0,0.0,0.0,0.0,0,16.39,0,79.75,14.62,0.81,79.75,14.62,0.81,-14.12,16.0,16.88,25.0,34.69,-5.5,-47.69,1.87,-0.36,9.49,79.75,14.62,0.81,222.25,26.74,986.84,time,
1702453088.9135275,45,0.0,0.0,0.0,0.0,0,16.39,0,76.75,10.25,5.12,76.75,10.25,5.12,-1.81,-3.06,11.88,25.0,39.25,-4.0,-45.75,1.49,-0.61,9.35,76.75,10.25,5.12,222.28,26.74,986.84,time,
1702453089.1841078,46,0.0,0.0,0.0,0.0,0,16.39,0,75.0,12.81,2.69,75.0,12.81,2.69,11.5,-7.69,5.94,25.0,35.56,-7.19,-49.38,1.61,-0.74,9.48,75.0,12.81,2.69,222.27,26.74,986.84,time,
1702453089.4511025,47,0.0,0.0,0.0,0.0,0,16.39,0,75.44,10.88,3.0,75.44,10.88,3.0,-7.69,4.62,-2.81,25.0,37.5,-8.25,-48.56,1.96,-0.57,9.55,75.44,10.88,3.0,222.15,26.74,986.85,time,
1702453089.7096298,48,0.0,0.0,0.0,0.0,0,16.39,0,75.06,10.0,3.81,75.06,10.0,3.81,0.25,-0.19,0.06,25.0,38.19,-7.19,-47.75,1.81,-0.73,9.59,75.06,10.0,3.81,222.17,26.74,986.85,time,
1702453089.9697087,49,0.0,0.0,0.0,0.0,0,16.39,0,74.44,9.88,3.44,74.44,9.88,3.44,2.62,4.81,-3.88,25.0,38.19,-8.0,-48.25,1.47,-0.65,9.67,74.44,9.88,3.44,222.2,26.75,986.84,time,
1702453090.2247076,50,0.0,0.0,0.0,0.0,0,16.39,0,74.81,9.62,3.5,74.81,9.62,3.5,-2.19,-3.19,3.69,25.0,39.0,-6.75,-48.69,1.72,-0.66,9.45,74.81,9.62,3.5,222.28,26.75,986.83,time,
1702453090.4889438,51,0.0,0.0,0.0,0.0,0,16.39,0,74.38,9.62,3.56,74.38,9.62,3.56,2.19,1.94,-3.06,25.0,38.56,-8.0,-47.75,1.58,-0.69,9.38,74.38,9.62,3.56,222.27,26.75,986.84,time,
1702453090.85349,52,0.0,0.0,0.0,0.0,0,16.39,0,74.88,8.75,3.31,74.88,8.75,3.31,-0.31,6.25,-4.0,25.0,38.19,-7.56,-48.56,1.44,-0.59,9.44,74.88,8.75,3.31,222.37,26.75,986.82,time,
1702453091.0484595,53,0.0,0.0,0.0,0.0,0,16.39,0,74.88,8.25,3.19,74.88,8.25,3.19,0.94,-3.5,3.44,25.0,40.06,-8.0,-46.56,1.56,-0.53,9.81,74.88,8.25,3.19,222.29,26.76,986.83,time,
1702453091.27376,54,0.0,0.0,0.0,0.0,0,16.39,1,74.38,8.94,3.56,74.38,8.94,3.56,-0.94,-1.94,-2.19,25.0,38.56,-8.25,-47.75,1.47,-0.51,9.55,74.38,8.94,3.56,222.28,26.76,986.83,time,
1702453091.5387592,55,0.0,0.0,0.0,0.0,0,16.39,0,74.25,8.81,3.88,74.25,8.81,3.88,-4.56,1.31,2.31,25.0,39.69,-8.25,-47.0,1.54,-0.52,9.5,74.25,8.81,3.88,222.43,26.76,986.82,time,
1702453091.798313,56,0.0,0.0,0.0,0.0,0,16.39,0,73.56,8.69,4.12,73.56,8.69,4.12,2.81,-2.44,0.88,25.0,39.38,-7.56,-47.38,1.39,-0.65,9.63,73.56,8.69,4.12,222.39,26.76,986.82,time,
1702453092.0663126,57,0.0,0.0,0.0,0.0,0,16.39,0,73.69,9.0,3.81,73.69,9.0,3.81,-1.62,2.5,-0.94,25.0,39.0,-9.38,-46.56,1.51,-0.55,9.58,73.69,9.0,3.81,222.38,26.77,986.82,time,
1702453092.3284142,58,0.0,0.0,0.0,0.0,0,16.39,0,73.94,9.25,4.06,73.94,9.25,4.06,-2.44,-1.12,-0.88,25.0,38.56,-8.0,-47.75,1.42,-0.67,9.4,73.94,9.25,4.06,222.25,26.77,986.84,time,
1702453092.601452,59,0.0,0.0,0.0,0.0,0,16.37,1,74.12,9.12,4.19,74.12,9.12,4.19,-1.19,-0.88,0.25,25.0,39.0,-8.25,-48.56,1.67,-0.64,9.66,74.12,9.12,4.19,222.39,26.77,986.82,time,
